"id","name","description","level","address","latitude","longitude","radius","polygon","created_at","is_custom"
c42fbdc8-d52b-4944-a5b8-4b57c0155218,平遥古城景区,"",5,山西省晋中市平遥县古城西大街44号近日升昌正南方向120米,37.2035600,112.1771200,0,"[[37.20838, 112.16594], [37.21255, 112.18577], [37.19676, 112.19006], [37.19321, 112.16826]]",2026-01-22 00:17:52.563 +0800,true
"2c10c02a-eafd-463a-8d0a-13f86ce6088c",雁门关景区,"",5,山西省忻州市代县雁门关镇二广高速广武高速出口8公里,39.1783800,112.8827100,0,"[[39.16008, 112.88194], [39.17092, 112.89619], [39.18922, 112.88735], [39.19734, 112.87215], [39.19354, 112.84546], [39.18357, 112.87121]]",2026-01-22 00:18:23.850 +0800,true
"5425f2eb-a353-48db-8797-3bb850fb84f1",洪洞大槐树寻根祭祖园景区,"",5,山西省临汾市洪洞县古槐北路公园街002号,36.2710000,111.6694700,0,"[[36.26976, 111.66594], [36.26806, 111.67162], [36.27275, 111.67349], [36.27417, 111.66768]]",2026-01-22 00:18:49.475 +0800,true
"5704b65d-476e-41bc-ac78-43dd0cd12fc1",太行山大峡谷八泉峡景区,"",5,山西省长治市壶关县桥上乡桥后沟村,35.9484800,113.5573000,0,"[[35.89432, 113.56049], [35.93158, 113.60581], [35.98549, 113.57285], [35.97299, 113.475], [35.92463, 113.49972]]",2026-01-22 00:19:56.714 +0800,true
"174f83d1-b330-4750-ad08-fc0cf3cb4ed1",云丘山景区,"",5,山西省临汾市乡宁县关王庙乡大河村,35.7538100,111.0192000,0,"[[35.74672, 110.99744], [35.7378, 111.03315], [35.76852, 111.02963], [35.76601, 110.98929], [35.75535, 110.99135]]",2026-01-22 00:20:23.149 +0800,true
eaac8abe-0c98-44f6-a1f8-9ea0cb2a4be9,晋祠天龙山景区,"",5,山西省太原市晋源区晋祠镇五坡村,37.7361600,112.3756000,0,"[[37.72347, 112.35846], [37.7266, 112.39227], [37.7363, 112.41193], [37.76121, 112.39648], [37.76379, 112.36017], [37.75856, 112.33923], [37.73739, 112.33897]]",2026-01-22 00:20:47.120 +0800,true
e3e9d344-5b29-4c3c-9d2e-a1235e92b717,乔家大院,"",5,乔家堡,37.4059200,112.4299900,0,"[[37.40033, 112.42597], [37.40245, 112.43957], [37.41046, 112.43918], [37.40998, 112.42339]]",2026-01-22 00:24:24.860 +0800,true
"7e34858e-9f04-4dca-b417-02aa1401a78f",响沙湾旅游景区,"",5,内蒙古自治区鄂尔多斯市达拉特旗展旦召苏木库布其沙漠边缘,40.2434010,109.9266430,0,"[[40.19853, 109.89071], [40.19827, 109.97174], [40.26982, 109.96625], [40.29077, 109.87424], [40.23942, 109.87492]]",2026-01-22 00:24:47.402 +0800,true
"88838c35-6d18-4ea1-a207-091ec8cec19b",成吉思汗陵旅游区,"",5,内蒙古自治区鄂尔多斯市伊金霍洛旗伊金霍洛镇,39.3710400,109.7843780,0,"[[39.3763, 109.77349], [39.3844, 109.79392], [39.36356, 109.83057], [39.3394, 109.80465], [39.36642, 109.77418]]",2026-01-22 00:25:27.180 +0800,true
"270d2784-05d4-4ff3-923e-651be8215774",中俄边境旅游区(套娃景区),"",5,内蒙古自治区呼伦贝尔市满洲里市兴华街道华埔大街23号,49.6280440,117.3457290,0,"[[49.62886, 117.33754], [49.63112, 117.34068], [49.63031, 117.35737], [49.62244, 117.35424], [49.62442, 117.34029]]",2026-01-22 00:25:53.563 +0800,true
"4ec1e32d-90da-4164-b3ea-005d19340d07",阿尔山柴河旅游景区,"",5,内蒙古自治区兴安盟阿尔山市天池镇,47.2778220,119.8791590,0,"[[47.28935, 119.85602], [47.29913, 119.89327], [47.26886, 119.91009], [47.25849, 119.86855]]",2026-01-22 00:26:16.216 +0800,true
"1d09ffa1-5ba5-48c6-92bc-da13b51c1840",阿斯哈图石林园区,"",5,内蒙古自治区赤峰市克什克腾旗巴彦查干苏木中国克什克腾世界地质公园阿斯哈图石林园区西门,43.9750660,117.4760300,0,"[[43.97598, 117.47049], [43.98049, 117.47693], [43.97923, 117.48993], [43.97049, 117.48912], [43.96768, 117.47697]]",2026-01-22 00:28:13.511 +0800,true
cb52faf6-21dc-4003-a4d1-c8225bcb6992,阿拉善盟胡杨林旅游区,"",5,内蒙古自治区阿拉善盟额济纳旗达来呼布镇,41.9572980,101.0871280,0,"[[41.96006, 101.0755], [41.96938, 101.08734], [41.94883, 101.10314], [41.93057, 101.1015], [41.91977, 101.09327], [41.93235, 101.08511]]",2026-01-22 00:28:33.484 +0800,true
"98639f57-2556-4a96-a806-71925067f8d4",呼伦贝尔大草原莫尔格勒河景区,"",5,内蒙古自治区呼伦贝尔市陈巴尔虎旗巴彦哈达苏木,49.5204620,119.7947040,0,"[[49.51094, 119.78409], [49.51227, 119.84417], [49.52732, 119.85756], [49.54358, 119.84537], [49.53946, 119.77534], [49.52197, 119.7707]]",2026-01-22 00:29:23.743 +0800,true
"70d148c8-401e-4443-a54e-d096dd53e70f",老牛湾黄河大峡谷旅游区,"",5,内蒙古自治区呼和浩特市清水河县老牛湾镇,39.6481690,111.4425490,0,"[[39.62445, 111.43876], [39.63556, 111.48923], [39.68392, 111.47206], [39.73041, 111.36082], [39.69238, 111.35876]]",2026-01-22 00:30:23.987 +0800,true
